 4575908  2439.      86.    220.     199.    40.    40.   0.094  0.093  0.056  1.51  0.35  0.41  2456524.    220.    190.   0.00143 0.00090 0.00087  1.77   0.29   0.22  
 4587528   739.6      8.3     8.1    216.1    9.1    8.4  0.486  0.051  0.052  5.772 0.097 0.130 2455058.     17.     18.   0.0198  0.0025  0.0024   5.57   0.25   0.25  
 4647763  2104.     110.    120.     788.    43.    46.   0.412  0.021  0.030  0.48  0.037 0.039 2455638.    120.    120.   0.119   0.024   0.024    7.44   0.42   0.42  
 4862968    38.672    0.091   0.093   21.9    6.3    4.3  0.48   0.32   0.29   4.06  1.30  0.72  2454989.6     6.9     4.7  0.0076  0.0065  0.0045  10.8    3.1    2.4   
 4902475   977.8      1.9     2.0    235.1    1.3    1.3  0.166  0.011  0.011  0.423 0.084 0.069 2455093.     13.     11.   0.01459 0.00025 0.00025  5.17   0.025  0.024 
 4937435  1413.6     11.0     9.0    686.0    5.0    4.7  0.588  0.011  0.011  2.134 0.013 0.013 2455041.     10.     10.   0.1734  0.0044  0.0044   8.557  0.100  0.099 
 4950985   824.      14.     13.     174.9    9.3    8.8  0.226  0.088  0.089  3.15  0.56  0.40  2454988.     74.     59.   0.0085  0.0014  0.0013   4.51   0.22   0.19  
 5022451   230.74     0.78    0.76    67.5    1.3    1.4  0.038  0.036  0.024  1.53  0.67  1.70  2455135.     25.     63.   0.00621 0.00037 0.00038  6.376  0.087  0.078 
 5176531   847.3      3.5     3.6    187.9    2.5    2.5  0.122  0.028  0.026  4.87  0.17  0.20  2455213.     24.     26.   0.00992 0.00040 0.00041  4.798  0.053  0.049 
 5196851  1151.      13.     11.     297.6    4.3    3.8  0.153  0.023  0.023  4.121 0.091 0.110 2455205.     21.     21.   0.02137 0.00100 0.00096  5.572  0.073  0.072 
 5212962   517.32     0.85    0.85   312.7    2.7    2.7  0.322  0.016  0.016  4.958 0.044 0.046 2455333.5     4.0     4.1  0.1227  0.0032  0.0032  12.48   0.11   0.11  
 5219533  1571.      15.     13.    1367.    11.    10.   0.5767 0.0081 0.0081 0.478 0.016 0.013 2455205.     14.     14.   1.111   0.032   0.032   15.5    0.18   0.17  
 5253740   684.0      4.0     3.8    187.0   12.0    9.5  0.72   0.041  0.040  3.684 0.054 0.058 2455455.8     7.7     8.1  0.015   0.0030  0.0023   4.13   0.28   0.30  
 5271224    40.519    0.048   0.047   47.6   18.0    6.7  0.52   0.26   0.26   3.32  0.82  0.35  2454971.4     5.2     2.6  0.07    0.078   0.030   21.9    4.9    5.7   
 5272673  1219.      11.     10.     230.6    1.8    1.8  0.114  0.022  0.021  1.791 0.086 0.140 2455702.     22.     30.   0.00886 0.00025 0.00027  4.098  0.038  0.034 
 5295234  1657.     250.    270.     187.    31.    36.   0.43   0.14   0.15   1.94  0.49  0.64  2455368.    280.    280.   0.0026  0.0015  0.0017   2.23   0.50   0.41  
 5302006   734.0      4.6     4.4    146.8    3.9    3.7  0.326  0.037  0.039  0.16  0.18  0.13  2454984.     19.     16.   0.0063  0.00051 0.00048  4.1    0.1    0.1   
 5304634  2101.      73.     60.     564.    40.    32.   0.11   0.015  0.014  2.856 0.013 0.024 2456784.     73.     74.   0.0436  0.0095  0.0081   5.82   0.26   0.27  
 5355850  1117.1      3.2     2.9    362.4    1.2    1.2  0.3843 0.0060 0.0061 5.255 0.013 0.014 2455682.6     4.0     4.0  0.04095 0.00046 0.00046  6.53   0.028  0.028 
 5358323   311.18     0.51    0.52    95.7    1.3    1.3  0.039  0.025  0.021  3.73  0.64  0.39  2455269.     31.     20.   0.00972 0.00040 0.00039  6.701  0.060  0.057 
 5370646   374.21     0.86    0.87   352.2    6.0    5.9  0.232  0.031  0.032  4.93  0.14  0.16  2455171.8     8.4     9.4  0.335   0.017   0.017   19.96   0.30   0.29  
 5376614  2069.     430.    340.      55.    25.    14.   0.126  0.100  0.077  4.7   1.1   1.0   2455338.    490.    440.   4.0e-05 0.00006 0.00004  0.58   0.17   0.14  
 5385469  2496.     350.    130.     933.    95.    42.   0.726  0.032  0.027  2.288 0.033 0.031 2455540.    240.    250.   0.14    0.045   0.044    5.61   0.65   0.52  
 5394574   336.79     0.36    0.36   170.1    2.1    2.1  0.461  0.018  0.018  5.517 0.038 0.034 2455022.1     2.0     2.0  0.0466  0.0017  0.0017   9.77   0.13   0.13  
 5459805  1408.      64.     59.     379.    24.    20.   0.215  0.026  0.030  5.36  0.14  0.14  2455303.     67.     66.   0.0295  0.0060  0.0054   5.73   0.28   0.28  
